31;5;151
13;6;100
5;3;265
29;9;136
28;4;313
18;11;330
28;1;196
11;8;200
24;11;75
24;6;211
29;3;213
24;7;171
13;1;113
12;10;366
5;9;175
19;1;367
21;5;85
8;2;195
6;2;400
22;10;280
12;4;121
15;10;245
13;6;58
6;4;179
11;11;387
14;11;259
2;3;195
12;11;191
8;1;291
18;6;64
28;11;123
7;3;123
29;7;317
17;12;157
2;4;232
28;11;314
13;8;379
16;2;60
21;7;169
5;3;145
20;2;66
17;1;90
7;2;262
26;4;215
25;9;179
14;10;276
7;1;184
18;11;289
8;10;100
7;6;191
28;1;171
12;3;217
14;7;134
3;4;111
23;9;293
22;12;393
4;11;336
1;4;349
31;7;52
13;4;386
3;4;185
15;7;339
17;9;330
14;7;65
15;3;314
14;12;273
27;8;244
3;1;371
30;11;354
4;12;156
13;10;262
11;11;52
23;4;201
29;7;245
1;10;120
25;6;64
